borough,intersection,Number of Bike Accidents,lat_lon_list
BROOKLYN,WILLOUGHBY AVENUE & WILSON AVENUE,3,"[40.70091, -73.92609]"
BROOKLYN,WILLIAMSBURG STREET WEST & WYTHE AVENUE,3,"[40.70166, -73.96145]"
BROOKLYN,WILLIAMSBURG STREET WEST & WYTHE AVENUE,3,"[40.70166, -73.96146]"
MANHATTAN,MORNINGSIDE AVENUE & WEST 123 STREET,3,"[40.81007, -73.95497]"
MANHATTAN,MORNINGSIDE AVENUE & WEST 123 STREET,3,"[40.81006, -73.95497]"
BROOKLYN,42 STREET & 5 AVENUE,3,"[40.64958, -74.00566]"
BROOKLYN,42 STREET & 5 AVENUE,3,"[40.64959, -74.00567]"
BROOKLYN,41 STREET & DAHILL ROAD,3,"[40.63435, -73.9789]"
BROOKLYN,41 STREET & DAHILL ROAD,3,"[40.63435, -73.97891]"
BROOKLYN,41 STREET & 9 AVENUE,3,"[40.64483, -73.99627]"
BROOKLYN,CHURCH AVENUE & EAST 5 STREET,3,"[40.64437, -73.97569]"
BROOKLYN,CHURCH AVENUE & EAST 5 STREET,3,"[40.64437, -73.9757]"
BROOKLYN,4 AVENUE & BAY RIDGE PARKWAY,3,"[40.63083, -74.02509]"
BROOKLYN,4 AVENUE & BAY RIDGE PARKWAY,3,"[40.63081, -74.02508]"
BROOKLYN,4 AVENUE & BAY RIDGE AVENUE,3,"[40.63462, -74.02352]"
BROOKLYN,4 AVENUE & BAY RIDGE AVENUE,3,"[40.63462, -74.02353]"
MANHATTAN,3 AVENUE & EAST 29 STREET,3,"[40.74259, -73.98041]"
MANHATTAN,8 AVENUE & WEST 26 STREET,3,"[40.74721, -73.9971]"
MANHATTAN,8 AVENUE & WEST 26 STREET,3,"[40.7472, -73.99711]"
BROOKLYN,CHURCH AVENUE & EAST 51 STREET,3,"[40.65194, -73.92939]"
BROOKLYN,CHURCH AVENUE & EAST 51 STREET,3,"[40.65194, -73.9294]"
QUEENS,108 STREET & 53 AVENUE,3,"[40.74268, -73.85462]"
QUEENS,108 STREET & 53 AVENUE,3,"[40.74268, -73.85463]"
BRONX,EAST 169 STREET & GRANT AVENUE,3,"[40.8356, -73.91379]"
BRONX,EAST 169 STREET & GRANT AVENUE,3,"[40.8356, -73.9138]"
BROOKLYN,AVENUE V & STILLWELL AVENUE,3,"[40.59355, -73.98464]"
BROOKLYN,AVENUE V & STILLWELL AVENUE,3,"[40.59355, -73.98465]"
BROOKLYN,HUMBOLDT STREET & JOHNSON AVENUE,3,"[40.70676, -73.9414]"
BROOKLYN,HUMBOLDT STREET & JOHNSON AVENUE,3,"[40.70676, -73.94141]"
BROOKLYN,HOWARD AVENUE & SAINT JOHNS PLACE,3,"[40.66998, -73.91988]"
QUEENS,65 PLACE & ROOSEVELT AVENUE,3,"[40.74605, -73.89903]"
MANHATTAN,3 AVENUE & EAST 33 STREET,3,"[40.74506, -73.97861]"
MANHATTAN,3 AVENUE & EAST 34 STREET,3,"[40.74573, -73.97812]"
QUEENS,108 STREET & 64 AVENUE,3,"[40.73294, -73.84961]"
BROOKLYN,NASSAU STREET & NAVY STREET,3,"[40.69825, -73.98054]"
BROOKLYN,NASSAU STREET & NAVY STREET,3,"[40.69825, -73.98055]"
MANHATTAN,3 AVENUE & EAST 35 STREET,3,"[40.74639, -73.97764]"
MANHATTAN,3 AVENUE & EAST 35 STREET,3,"[40.74639, -73.97765]"
BRONX,EAST 167 STREET & WESTCHESTER AVENUE,3,"[40.82674, -73.8879]"
BROOKLYN,AVENUE V & KNAPP STREET,3,"[40.59963, -73.93395]"
BROOKLYN,AVENUE V & KNAPP STREET,3,"[40.59963, -73.93396]"
MANHATTAN,3 AVENUE & EAST 26 STREET,3,"[40.74073, -73.98176]"
MANHATTAN,8 AVENUE & WEST 20 STREET,3,"[40.74342, -73.99985]"
MANHATTAN,BROADWAY & WEST 90 STREET,3,"[40.79084, -73.97457]"
MANHATTAN,8 AVENUE & WEST 155 STREET,3,"[40.82916, -73.93727]"
BROOKLYN,EAST 2 STREET & KINGS HIGHWAY,3,"[40.60432, -73.97099]"
BROOKLYN,EAST 2 STREET & KINGS HIGHWAY,3,"[40.60432, -73.971]"
MANHATTAN,8 AVENUE & WEST 17 STREET,3,"[40.74167, -74.00113]"
MANHATTAN,8 AVENUE & WEST 17 STREET,3,"[40.74166, -74.00114]"
MANHATTAN,8 AVENUE & WEST 18 STREET,3,"[40.74225, -74.0007]"
MANHATTAN,8 AVENUE & WEST 18 STREET,3,"[40.74225, -74.00071]"
MANHATTAN,8 AVENUE & WEST 19 STREET,3,"[40.74284, -74.00027]"
BROOKLYN,CHURCH AVENUE & EAST 96 STREET,3,"[40.6557, -73.91545]"
BROOKLYN,CHURCH AVENUE & EAST 96 STREET,3,"[40.6557, -73.91546]"
BROOKLYN,4 STREET & 5 AVENUE,3,"[40.67219, -73.98378]"
BROOKLYN,4 STREET & 5 AVENUE,3,"[40.67219, -73.9838]"
MANHATTAN,MULBERRY STREET & PRINCE STREET,3,"[40.72337, -73.9957]"
MANHATTAN,MULBERRY STREET & PRINCE STREET,3,"[40.72337, -73.99571]"
MANHATTAN,11 AVENUE & WEST 56 STREET,3,"[40.76964, -73.99189]"
MANHATTAN,11 AVENUE & WEST 56 STREET,3,"[40.76964, -73.9919]"
BROOKLYN,HUMBOLDT STREET & METROPOLITAN AVENUE,3,"[40.71469, -73.94269]"
BROOKLYN,HUMBOLDT STREET & METROPOLITAN AVENUE,3,"[40.71469, -73.9427]"
MANHATTAN,11 AVENUE & WEST 57 STREET,3,"[40.77031, -73.9914]"
MANHATTAN,11 AVENUE & WEST 57 STREET,3,"[40.77031, -73.99141]"
MANHATTAN,3 AVENUE & EAST 28 STREET,3,"[40.74197, -73.98086]"
MANHATTAN,5 AVENUE & EAST 31 STREET,3,"[40.74654, -73.98595]"
MANHATTAN,8 AVENUE & WEST 23 STREET,3,"[40.74529, -73.9985]"
BROOKLYN,4 AVENUE & OVINGTON AVENUE,3,"[40.63372, -74.02388]"
MANHATTAN,9 AVENUE & WEST 24 STREET,3,"[40.74714, -74.00085]"
BROOKLYN,FLUSHING AVENUE & NOLL STREET,3,"[40.7043, -73.9298]"
BROOKLYN,AVENUE Z & BEDFORD AVENUE,3,"[40.58904, -73.94457]"
BROOKLYN,AVENUE Z & BEDFORD AVENUE,3,"[40.58904, -73.94458]"
MANHATTAN,WALL STREET & WILLIAM STREET,3,"[40.70638, -74.0095]"
MANHATTAN,WALL STREET & WILLIAM STREET,3,"[40.70638, -74.00951]"
MANHATTAN,BROADWAY & WEST 175 STREET,3,"[40.84619, -73.93846]"
QUEENS,FAIRVIEW AVENUE & GROVE STREET,3,"[40.70724, -73.90674]"
QUEENS,FAIRVIEW AVENUE & GROVE STREET,3,"[40.70724, -73.90675]"
MANHATTAN,BROADWAY & WEST 176 STREET,3,"[40.84691, -73.93823]"
MANHATTAN,BROADWAY & WEST 176 STREET,3,"[40.84691, -73.93824]"
BRONX,EAST 187 STREET & SOUTHERN BOULEVARD,3,"[40.85335, -73.88167]"
BRONX,EAST 187 STREET & SOUTHERN BOULEVARD,3,"[40.85334, -73.88168]"
MANHATTAN,BROADWAY & WEST 149 STREET,3,"[40.82897, -73.94859]"
MANHATTAN,BROADWAY & WEST 149 STREET,3,"[40.82898, -73.9486]"
BROOKLYN,BERRY STREET & NORTH 9 STREET,3,"[40.71974, -73.95782]"
BROOKLYN,HARRISON AVENUE & RUTLEDGE STREET,3,"[40.70498, -73.95254]"
BROOKLYN,HENDRIX STREET & SUTTER AVENUE,3,"[40.67033, -73.88878]"
BRONX,EAST 184 STREET & WEBSTER AVENUE,3,"[40.85674, -73.89526]"
BROOKLYN,CENTRAL AVENUE & LINDEN STREET,3,"[40.6943, -73.91851]"
BROOKLYN,CENTRAL AVENUE & LINDEN STREET,3,"[40.6943, -73.91852]"
BROOKLYN,23 AVENUE & 59 STREET,3,"[40.61595, -73.97563]"
BROOKLYN,23 AVENUE & 59 STREET,3,"[40.61594, -73.97564]"
QUEENS,FAIRVIEW AVENUE & PUTNAM AVENUE,3,"[40.70461, -73.90229]"
QUEENS,FAIRVIEW AVENUE & PUTNAM AVENUE,3,"[40.70461, -73.9023]"
BROOKLYN,BERGEN STREET & SMITH STREET,3,"[40.68673, -73.99047]"
QUEENS,FARMERS BOULEVARD & LINDEN BOULEVARD,3,"[40.69167, -73.76239]"
BROOKLYN,BERRY STREET & SOUTH 3 STREET,3,"[40.71308, -73.96407]"
MANHATTAN,BROADWAY & WEST 182 STREET,3,"[40.85077, -73.93542]"
QUEENS,DECATUR STREET & MYRTLE AVENUE,3,"[40.70067, -73.8961]"
MANHATTAN,BROADWAY & WEST 138 STREET,3,"[40.82202, -73.95367]"
MANHATTAN,BROADWAY & WEST 138 STREET,3,"[40.82202, -73.95368]"
MANHATTAN,LENOX AVENUE & WEST 138 STREET,3,"[40.81603, -73.93946]"
MANHATTAN,LENOX AVENUE & WEST 138 STREET,3,"[40.81603, -73.93947]"
MANHATTAN,9 AVENUE & WEST 41 STREET,3,"[40.75783, -73.99307]"
BROOKLYN,23 STREET & 5 AVENUE,3,"[40.66023, -73.99459]"
BROOKLYN,23 STREET & 5 AVENUE,3,"[40.66159, -73.99686]"
BROOKLYN,23 STREET & 5 AVENUE,3,"[40.66022, -73.99459]"
MANHATTAN,AMSTERDAM AVENUE & LASALLE STREET,3,"[40.81261, -73.95683]"
BROOKLYN,2 AVENUE & 43 STREET,3,"[40.65301, -74.01285]"
BROOKLYN,2 AVENUE & 43 STREET,3,"[40.65302, -74.01285]"
QUEENS,28 AVENUE & 38 STREET,3,"[40.76586, -73.9145]"
MANHATTAN,BROADWAY & WEST 174 STREET,3,"[40.84544, -73.93868]"
BROOKLYN,SMITH STREET & UNION STREET,3,"[40.68164, -73.99391]"
BROOKLYN,SMITH STREET & UNION STREET,3,"[40.68164, -73.99392]"
BROOKLYN,SHEEPSHEAD BAY ROAD & VOORHIES AVENUE,3,"[40.58593, -73.95189]"
BROOKLYN,SHEEPSHEAD BAY ROAD & VOORHIES AVENUE,3,"[40.58593, -73.9519]"
BROOKLYN,BUSHWICK AVENUE & PILLING STREET,3,"[40.68366, -73.90788]"
QUEENS,28 AVENUE & COLLEGE POINT BOULEVARD,3,"[40.7731, -73.84565]"
QUEENS,28 AVENUE & COLLEGE POINT BOULEVARD,3,"[40.7731, -73.84566]"
BROOKLYN,20 AVENUE & BAY RIDGE PARKWAY,3,"[40.61085, -73.99177]"
BROOKLYN,20 AVENUE & BAY RIDGE PARKWAY,3,"[40.61084, -73.99178]"
BRONX,EAST 199 STREET & GRAND CONCOURSE,3,"[40.87149, -73.88869]"
BRONX,EAST 199 STREET & GRAND CONCOURSE,3,"[40.87149, -73.88868]"
MANHATTAN,ESSEX STREET & RIVINGTON STREET,3,"[40.71983, -73.98754]"
MANHATTAN,ESSEX STREET & RIVINGTON STREET,3,"[40.71983, -73.98755]"
BROOKLYN,20 STREET & 4 AVENUE,3,"[40.66327, -73.9951]"
BROOKLYN,20 STREET & 5 AVENUE,3,"[40.66191, -73.99284]"
MANHATTAN,BROADWAY & WEST 162 STREET,3,"[40.83718, -73.9426]"
MANHATTAN,2 AVENUE & EAST 124 STREET,3,"[40.80208, -73.93406]"
MANHATTAN,2 AVENUE & EAST 124 STREET,3,"[40.80207, -73.93407]"
MANHATTAN,RIVERSIDE DRIVE & WEST 116 STREET,3,"[40.80884, -73.96581]"
MANHATTAN,RIVERSIDE DRIVE & WEST 116 STREET,3,"[40.80886, -73.96586]"
BRONX,EAST 195 STREET & WEBSTER AVENUE,3,"[40.86426, -73.88812]"
BRONX,EAST 189 STREET & WEBSTER AVENUE,3,"[40.86052, -73.89256]"
BRONX,EAST 189 STREET & WEBSTER AVENUE,3,"[40.86052, -73.89257]"
BRONX,EAST 194 STREET & WEBSTER AVENUE,3,"[40.86309, -73.88945]"
BRONX,EAST 194 STREET & WEBSTER AVENUE,3,"[40.86309, -73.88946]"
MANHATTAN,FAIRVIEW AVENUE & FORT GEORGE HILL,3,"[40.85717, -73.92823]"
MANHATTAN,BROADWAY & WEST 157 STREET,3,"[40.83406, -73.94488]"
BROOKLYN,BUSHWICK AVENUE & NOLL STREET,3,"[40.70001, -73.93606]"
BROOKLYN,BUSHWICK AVENUE & NOLL STREET,3,"[40.70001, -73.93607]"
BROOKLYN,21 AVENUE & 65 STREET,3,"[40.61518, -73.98367]"
QUEENS,DITMARS BOULEVARD & STEINWAY STREET,3,"[40.77285, -73.90606]"
BROOKLYN,AVENUE Y & WEST 3 STREET,3,"[40.58812, -73.9726]"
BROOKLYN,BERGEN STREET & WASHINGTON AVENUE,3,"[40.67852, -73.9639]"
MANHATTAN,RIVERSIDE DRIVE & WEST 135 STREET,3,"[40.82114, -73.95752]"
MANHATTAN,RIVERSIDE DRIVE & WEST 135 STREET,3,"[40.82136, -73.95719]"
MANHATTAN,RIVERSIDE DRIVE & WEST 135 STREET,3,"[40.82112, -73.95747]"
BRONX,EAST 192 STREET & GRAND CONCOURSE,3,"[40.86422, -73.89579]"
MANHATTAN,WALL STREET & WATER STREET,3,"[40.70518, -74.00739]"
MANHATTAN,WALL STREET & WATER STREET,3,"[40.70518, -74.0074]"
BROOKLYN,2 AVENUE & 60 STREET,3,"[40.64347, -74.02277]"
BROOKLYN,BUSHWICK AVENUE & METROPOLITAN AVENUE,3,"[40.71473, -73.94207]"
BROOKLYN,BUSHWICK AVENUE & METROPOLITAN AVENUE,3,"[40.71473, -73.94208]"
MANHATTAN,PEARL STREET & ROBERT F WAGNER PLACE,3,"[40.71018, -74.00114]"
BROOKLYN,SOUTH 5 PLACE & SOUTH 5 STREET,3,"[40.71047, -73.96094]"
QUEENS,69 PLACE & MYRTLE AVENUE,3,"[40.70186, -73.88191]"
QUEENS,69 PLACE & MYRTLE AVENUE,3,"[40.70186, -73.88192]"
BROOKLYN,AVENUE Y & CONEY ISLAND AVENUE,3,"[40.58945, -73.96052]"
BROOKLYN,AVENUE Y & CONEY ISLAND AVENUE,3,"[40.58945, -73.96053]"
MANHATTAN,3 AVENUE & EAST 52 STREET,3,"[40.75708, -73.96985]"
BROOKLYN,BEVERLEY ROAD & EAST 16 STREET,3,"[40.64441, -73.96409]"
BROOKLYN,BEVERLEY ROAD & EAST 16 STREET,3,"[40.6444, -73.9641]"
BROOKLYN,HANCOCK STREET & REID AVENUE,3,"[40.6849, -73.92946]"
QUEENS,FOREST AVENUE & METROPOLITAN AVENUE,3,"[40.7129, -73.90608]"
BROOKLYN,SOUTH 9 STREET & WYTHE AVENUE,3,"[40.70905, -73.9671]"
BROOKLYN,SOUTH 9 STREET & WYTHE AVENUE,3,"[40.70905, -73.96711]"
BROOKLYN,EAST 95 STREET & RUTLAND ROAD,3,"[40.66329, -73.92542]"
BROOKLYN,EAST 95 STREET & RUTLAND ROAD,3,"[40.66329, -73.92543]"
QUEENS,32 AVENUE & 92 STREET,3,"[40.75866, -73.87646]"
BROOKLYN,SAINT JOHNS PLACE & TROY AVENUE,3,"[40.67089, -73.93649]"
MANHATTAN,4 AVENUE & EAST 9 STREET,3,"[40.73056, -73.99051]"
BROOKLYN,NEVINS STREET & WYCKOFF STREET,3,"[40.68354, -73.98437]"
BROOKLYN,AVENUE Y & BEDFORD AVENUE,3,"[40.59116, -73.94497]"
BROOKLYN,AVENUE Y & BEDFORD AVENUE,3,"[40.59116, -73.94498]"
BROOKLYN,CENTRAL AVENUE & GREENE AVENUE,3,"[40.69601, -73.92152]"
BROOKLYN,CENTRAL AVENUE & GREENE AVENUE,3,"[40.69601, -73.92153]"
BROOKLYN,NORTH 10 STREET & ROEBLING STREET,3,"[40.71791, -73.9534]"
BROOKLYN,CHESTER STREET & PITKIN AVENUE,3,"[40.66955, -73.91166]"
BROOKLYN,CHESTER STREET & PITKIN AVENUE,3,"[40.66955, -73.91167]"
MANHATTAN,AMSTERDAM AVENUE & WEST 107 STREET,3,"[40.80111, -73.96522]"
MANHATTAN,AMSTERDAM AVENUE & WEST 107 STREET,3,"[40.80111, -73.96523]"
BROOKLYN,3 AVENUE & 31 STREET,3,"[40.65831, -74.00352]"
BROOKLYN,3 AVENUE & 31 STREET,3,"[40.65841, -74.00357]"
MANHATTAN,BROADWAY & WEST 192 STREET,3,"[40.85784, -73.93204]"
MANHATTAN,2 AVENUE & EAST 111 STREET,3,"[40.79382, -73.94011]"
MANHATTAN,2 AVENUE & EAST 111 STREET,3,"[40.79382, -73.94012]"
BROOKLYN,3 AVENUE & 37 STREET,3,"[40.65495, -74.00702]"
BROOKLYN,3 AVENUE & 37 STREET,3,"[40.65496, -74.00703]"
MANHATTAN,9 AVENUE & WEST 36 STREET,3,"[40.75469, -73.99535]"
MANHATTAN,9 AVENUE & WEST 36 STREET,3,"[40.75469, -73.99536]"
MANHATTAN,ELLWOOD STREET & NAGLE AVENUE,3,"[40.86024, -73.92842]"
MANHATTAN,ELLWOOD STREET & NAGLE AVENUE,3,"[40.86024, -73.92843]"
BROOKLYN,SOUTH 4 STREET & UNION AVENUE,3,"[40.70739, -73.95053]"
BROOKLYN,SOUTH 4 STREET & UNION AVENUE,3,"[40.70739, -73.95054]"
BROOKLYN,NEW LOTS AVENUE & PENNSYLVANIA AVENUE,3,"[40.66184, -73.8931]"
BROOKLYN,NEW LOTS AVENUE & PENNSYLVANIA AVENUE,3,"[40.66184, -73.89311]"
BROOKLYN,BERGEN STREET & KINGSTON AVENUE,3,"[40.67564, -73.94161]"
BROOKLYN,CENTRAL AVENUE & HARMAN STREET,3,"[40.69644, -73.92227]"
MANHATTAN,3 AVENUE & EAST 51 STREET,3,"[40.75645, -73.97032]"
BROOKLYN,CENTRAL AVENUE & HALSEY STREET,3,"[40.69003, -73.911]"
MANHATTAN,PARK ROW & WORTH STREET,3,"[40.71347, -73.99858]"
MANHATTAN,PARK ROW & WORTH STREET,3,"[40.71344, -73.99854]"
BRONX,EAST 183 STREET & JEROME AVENUE,3,"[40.85871, -73.90369]"
BRONX,EAST 183 STREET & JEROME AVENUE,3,"[40.85871, -73.9037]"
QUEENS,73 PLACE & METROPOLITAN AVENUE,3,"[40.71273, -73.87934]"
QUEENS,73 PLACE & METROPOLITAN AVENUE,3,"[40.71273, -73.87935]"
MANHATTAN,2 AVENUE & EAST 47 STREET,3,"[40.753, -73.96989]"
BROOKLYN,3 AVENUE & 35 STREET,3,"[40.65609, -74.00584]"
BROOKLYN,3 AVENUE & 35 STREET,3,"[40.65612, -74.00591]"
BROOKLYN,CHURCH AVENUE & EAST 95 STREET,2,"[40.65513, -73.91634]"
BROOKLYN,BUSHWICK AVENUE & POWERS STREET,2,"[40.71267, -73.94105]"
QUEENS,21 STREET & DITMARS BOULEVARD,2,"[40.78046, -73.91683]"
QUEENS,21 STREET & DITMARS BOULEVARD,2,"[40.78046, -73.91684]"
BROOKLYN,CENTRAL AVENUE & MENAHAN STREET,2,"[40.69516, -73.92001]"
BROOKLYN,CENTRAL AVENUE & MENAHAN STREET,2,"[40.69516, -73.92002]"
QUEENS,21 AVENUE & 38 STREET,2,"[40.7752, -73.90455]"
QUEENS,187 STREET & 73 AVENUE,2,"[40.73284, -73.78394]"
BROOKLYN,CHURCH AVENUE & EAST 7 STREET,2,"[40.64545, -73.9731]"
MANHATTAN,11 AVENUE & WEST 58 STREET,2,"[40.77099, -73.99091]"
MANHATTAN,11 AVENUE & WEST 58 STREET,2,"[40.77099, -73.99092]"
MANHATTAN,2 AVENUE & EAST 43 STREET,2,"[40.75049, -73.97172]"
BROOKLYN,BROOKLYN AVENUE & FOSTER AVENUE,2,"[40.63897, -73.9425]"
BROOKLYN,BROOKLYN AVENUE & FOSTER AVENUE,2,"[40.63897, -73.94251]"
BROOKLYN,CENTRAL AVENUE & MYRTLE AVENUE,2,"[40.6981, -73.92516]"
BROOKLYN,CLERMONT AVENUE & DE KALB AVENUE,2,"[40.68951, -73.97014]"
QUEENS,223 STREET & HEMPSTEAD AVENUE,2,"[40.71212, -73.73117]"
QUEENS,223 STREET & HEMPSTEAD AVENUE,2,"[40.71212, -73.73118]"
BROOKLYN,CHURCH AVENUE & REMSEN AVENUE,2,"[40.65279, -73.91996]"
BROOKLYN,CHURCH AVENUE & REMSEN AVENUE,2,"[40.65279, -73.91997]"
BROOKLYN,CAMPUS ROAD & EAST 26 STREET,2,"[40.63225, -73.95177]"
BROOKLYN,CHURCH AVENUE & EAST 55 STREET,2,"[40.65245, -73.92561]"
BROOKLYN,CLEVELAND STREET & FULTON STREET,2,"[40.67966, -73.88556]"
BROOKLYN,CLEVELAND STREET & FULTON STREET,2,"[40.67965, -73.88556]"
QUEENS,20 AVENUE & 31 STREET,2,"[40.77973, -73.9063]"
QUEENS,20 AVENUE & 31 STREET,2,"[40.77973, -73.90631]"
MANHATTAN,2 AVENUE & EAST 27 STREET,2,"[40.74039, -73.97908]"
MANHATTAN,2 AVENUE & EAST 27 STREET,2,"[40.74039, -73.97909]"
BROOKLYN,BUSHWICK AVENUE & SCHOLES STREET,2,"[40.7091, -73.94008]"
BROOKLYN,BUSHWICK AVENUE & SCHOLES STREET,2,"[40.7091, -73.94009]"
QUEENS,20 AVENUE & 38 STREET,2,"[40.77696, -73.90239]"
MANHATTAN,10 AVENUE & WEST 58 STREET,2,"[40.76979, -73.98806]"
MANHATTAN,10 AVENUE & WEST 58 STREET,2,"[40.76979, -73.98807]"
BROOKLYN,CENTRAL AVENUE & HIMROD STREET,2,"[40.69687, -73.92302]"
BROOKLYN,CENTRAL AVENUE & HIMROD STREET,2,"[40.69687, -73.92303]"
BROOKLYN,BUSHWICK AVENUE & STOCKHOLM STREET,2,"[40.6947, -73.9275]"
QUEENS,21 STREET & 23 AVENUE,2,"[40.77869, -73.91899]"
BROOKLYN,BUSHWICK AVENUE & FURMAN AVENUE,2,"[40.6828, -73.90638]"
QUEENS,223 STREET & LINDEN BOULEVARD,2,"[40.69432, -73.73752]"
BROOKLYN,CHURCH AVENUE & FAIRVIEW PLACE,2,"[40.65086, -73.94859]"
BROOKLYN,CHURCH AVENUE & FAIRVIEW PLACE,2,"[40.65086, -73.9486]"
MANHATTAN,11 AVENUE & WEST 28 STREET,2,"[40.75202, -74.00472]"
MANHATTAN,11 AVENUE & WEST 28 STREET,2,"[40.75202, -74.00473]"
BROOKLYN,CENTRAL AVENUE & FLUSHING AVENUE,2,"[40.70285, -73.93352]"
BROOKLYN,CLARENDON ROAD & ROGERS AVENUE,2,"[40.64306, -73.95166]"
BROOKLYN,CLARENDON ROAD & NOSTRAND AVENUE,2,"[40.64325, -73.94877]"
BROOKLYN,BROOKLYN AVENUE & LEFFERTS AVENUE,2,"[40.66268, -73.94561]"
BROOKLYN,BROADWAY & PALMETTO STREET,2,"[40.68907, -73.92131]"
BROOKLYN,CHURCH AVENUE & EAST 98 STREET,2,"[40.65678, -73.91378]"
BROOKLYN,CHURCH AVENUE & EAST 98 STREET,2,"[40.65678, -73.91379]"
BROOKLYN,CLARENDON ROAD & NEW YORK AVENUE,2,"[40.64342, -73.94587]"
BROOKLYN,CLARENDON ROAD & NEW YORK AVENUE,2,"[40.64343, -73.94588]"
MANHATTAN,LISPENARD STREET & WEST BROADWAY,2,"[40.72063, -74.00521]"
BROOKLYN,CLARENDON ROAD & FLATBUSH AVENUE,2,"[40.64269, -73.95764]"
MANHATTAN,2 AVENUE & EAST 67 STREET,2,"[40.76561, -73.96069]"
MANHATTAN,2 AVENUE & EAST 67 STREET,2,"[40.76561, -73.9607]"
BROOKLYN,CLARENDON ROAD & EAST 59 STREET,2,"[40.64497, -73.92098]"
BROOKLYN,CLARENDON ROAD & EAST 59 STREET,2,"[40.64497, -73.92099]"
MANHATTAN,11 AVENUE & WEST 27 STREET,2,"[40.75141, -74.00518]"
MANHATTAN,11 AVENUE & WEST 27 STREET,2,"[40.7514, -74.00518]"
BROOKLYN,BUSHWICK AVENUE & TROUTMAN STREET,2,"[40.69786, -73.93325]"
BROOKLYN,CLARENDON ROAD & UTICA AVENUE,2,"[40.64443, -73.9296]"
MANHATTAN,2 AVENUE & EAST 46 STREET,2,"[40.75238, -73.97034]"
MANHATTAN,2 AVENUE & EAST 45 STREET,2,"[40.75175, -73.9708]"
MANHATTAN,2 AVENUE & EAST 125 STREET,2,"[40.80275, -73.93358]"
QUEENS,221 STREET & JAMAICA AVENUE,2,"[40.71959, -73.73315]"
BROOKLYN,CATON AVENUE & STRATFORD ROAD,2,"[40.6489, -73.96967]"
BROOKLYN,CATON AVENUE & STRATFORD ROAD,2,"[40.6489, -73.96968]"
BROOKLYN,CATON AVENUE & EAST 21 STREET,2,"[40.65256, -73.96042]"
QUEENS,193 STREET & NORTHERN BOULEVARD,2,"[40.75787, -73.7885]"
QUEENS,193 STREET & NORTHERN BOULEVARD,2,"[40.75787, -73.78851]"
BROOKLYN,BROOKLYN AVENUE & SAINT JOHNS PLACE,2,"[40.67134, -73.94479]"
BROOKLYN,BROADWAY & WALLABOUT STREET,2,"[40.70321, -73.94625]"
BROOKLYN,BROADWAY & WALLABOUT STREET,2,"[40.70321, -73.94626]"
BROOKLYN,CHURCH AVENUE & DAHILL ROAD,2,"[40.64238, -73.98042]"
BROOKLYN,CATON AVENUE & EAST 5 STREET,2,"[40.64773, -73.97634]"
BROOKLYN,BROOKLYN AVENUE & CORTELYOU ROAD,2,"[40.64464, -73.94311]"
BROOKLYN,BROOKLYN AVENUE & CORTELYOU ROAD,2,"[40.64463, -73.94312]"
BROOKLYN,CHURCH AVENUE & EAST 17 STREET,2,"[40.64908, -73.96398]"
BROOKLYN,CHURCH AVENUE & EAST 17 STREET,2,"[40.64908, -73.96399]"
BROOKLYN,BROOKLYN AVENUE & CROWN STREET,2,"[40.66599, -73.9453]"
BROOKLYN,BROOKLYN AVENUE & CROWN STREET,2,"[40.66598, -73.94531]"
BROOKLYN,BUFFALO AVENUE & EASTERN PARKWAY,2,"[40.66851, -73.92561]"
BROOKLYN,CHURCH AVENUE & EAST 31 STREET,2,"[40.65086, -73.94859]"
QUEENS,188 STREET & UNION TURNPIKE,2,"[40.72921, -73.78116]"
QUEENS,188 STREET & UNION TURNPIKE,2,"[40.72921, -73.78117]"
BROOKLYN,BUSHWICK AVENUE & MADISON STREET,2,"[40.68965, -73.9184]"
MANHATTAN,2 AVENUE & EAST 113 STREET,2,"[40.79507, -73.93919]"
MANHATTAN,2 AVENUE & EAST 6 STREET,2,"[40.7274, -73.98854]"
MANHATTAN,2 AVENUE & EAST 6 STREET,2,"[40.7274, -73.98855]"
BROOKLYN,BROADWAY & SUYDAM STREET,2,"[40.69536, -73.93237]"
QUEENS,225 STREET & NORTH CONDUIT AVENUE,2,"[40.6664, -73.75176]"
QUEENS,225 STREET & SOUTH CONDUIT AVENUE,2,"[40.66549, -73.75235]"
BROOKLYN,CLARKSON AVENUE & NOSTRAND AVENUE,2,"[40.65542, -73.95007]"
BROOKLYN,BROOKLYN AVENUE & SNYDER AVENUE,2,"[40.64928, -73.94361]"
QUEENS,189 STREET & 73 AVENUE,2,"[40.73342, -73.78213]"
BROOKLYN,BROOKLYN AVENUE & CLARENDON ROAD,2,"[40.6436, -73.943]"
BROOKLYN,BROOKLYN AVENUE & CLARENDON ROAD,2,"[40.6436, -73.94301]"
BROOKLYN,CLASSON AVENUE & EASTERN PARKWAY,2,"[40.67141, -73.96132]"
BROOKLYN,CLASSON AVENUE & EASTERN PARKWAY,2,"[40.67135, -73.96134]"
BROOKLYN,BROADWAY & WYTHE AVENUE,2,"[40.71063, -73.96678]"
BROOKLYN,BUTLER STREET & COURT STREET,2,"[40.6851, -73.99458]"
MANHATTAN,2 AVENUE & EAST 109 STREET,2,"[40.79254, -73.94104]"
